id_discente,sexo,semestre_letivo,media_final,numero_faltas,cod_disciplina,disciplina,ch_total,descricao
"154,889",M,20122,3.62,0,"2,710",TEORIA DA COMPUTACAO,60,REPROVADO
"114,212",M,20092,7.7,0,"2,697",LINGUAGENS FORMAIS E AUTOMATOS,60,APROVADO
"114,211",M,20091,8.9,0,"3,817",INTRODUCAO A PROGRAMACAO,60,DISPENSADO
"270,373",M,20161,8,0,"17,740",CÁLCULO  DAS PROBABILIDADES I,60,DISPENSADO
"176,213",M,20161,8.6,0,"3,809",ENGENHARIA DE SOFTWARE,60,APROVADO
"129,442",M,20111,6,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"150,430",M,20111,0,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REP. FALTA
"155,494",F,20151,0,0,"2,687",INTERACAO HOMEMMAQUINA,60,REPROVADO
"253,806",M,20152,null,null,"4,705",INTRODUCAO A PSICOLOGIA,60,EXCLUIDA
"119,828",M,20102,5.52,0,"1,665",ESTRUTURA DE DADOS,60,APROVADO
"254,386",M,20141,9.5,0,"3,818",INTRODUCAO AO COMPUTADOR,60,APROVADO
"107,641",M,20101,6.5,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"153,781",F,20121,3.3,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"254,386",M,20141,7.46,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"115,367",M,20091,9.7,0,"2,710",TEORIA DA COMPUTACAO,60,APROVADO
"171,378",M,20121,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"149,391",F,20152,8,0,"2,719",TOP ESP EM REDES DE COMPUTADORES,60,APROVADO
"187,060",M,20142,8,0,"4,372",LINGUA INGLESA I,75,APROVADO
"175,041",M,20122,2.3,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"190,431",F,20152,3.1,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,REPROVADO
"123,992",M,20092,2,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"263,545",M,20152,0,0,"7,036",CALCULO DIF  E INTEGRAL III,60,TRANCADO
"175,547",M,20122,1.9,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"111,498",M,20082,null,0,"4,372",LINGUA INGLESA I,75,TRANCADO
"267,295",M,20152,0.2,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REPROVADO
"262,897",M,20151,7,0,"17,973",ALGEBRA LINEAR COMPUTACIONAL,60,APROVADO
"107,093",M,20092,7.9,0,951,ADM SIST DE INFORMACOES,60,APROVADO
"176,136",M,20122,7,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"150,188",M,20111,9.5,0,"3,818",INTRODUCAO AO COMPUTADOR,60,APROVADO
"273,864",M,20161,null,null,"3,851",TOPICOS ESPEC EM COMPUTACAO,60,TRANCADO
"249,750",F,20132,5.59,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"262,897",M,20152,8.7,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,APROVADO
"175,583",M,20122,6.2,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"109,430",M,20102,0,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,REP. FALTA
"123,885",M,20122,0,0,"1,661",CIRCUITOS LOGICOS,90,REP. FALTA
"135,587",M,20102,8.2,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"109,122",M,20072,null,0,"3,818",INTRODUCAO AO COMPUTADOR,60,TRANCADO
"260,924",F,20142,0.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"261,071",M,20142,9.7,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"123,013",M,20102,7.5,0,"1,661",CIRCUITOS LOGICOS,90,APROVADO
"181,524",M,20141,2.5,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"186,433",F,20131,1,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"279,929",M,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,MATRICULADO
"150,374",M,20112,8.6,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,DISPENSADO
"254,685",M,20151,null,0,"4,250",CALCULO VET GEO ANALITICA,60,TRANCADO
"175,023",M,20122,3.8,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"175,584",F,20132,null,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,TRANCADO
"182,251",M,20132,3.32,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REPROVADO
"254,387",M,20151,0,0,"4,323",PORTUGUES INSTRUMENTAL,60,REPROVADO
"155,218",M,20112,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"178,245",M,20131,0,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REP. FALTA
"250,835",M,20132,10,0,"4,555",CALCULO NUMERICO,60,DISPENSADO
"129,051",M,20152,9.3,0,"1,656",ANALISE E PROJETO DE ALGORITMOS,60,APROVADO
"119,832",M,20112,9.4,0,"2,702",ORDENACAO E RECUPERACAO DE DADOS,60,APROVADO
"132,201",M,20122,null,0,"10,959",MODELOS PROBABILÍSTICOS P COMPUTAÇÃO,60,TRANCADO
"184,764",M,20141,8.1,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"280,937",M,20161,7.3,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,DISPENSADO
"174,253",M,20161,0,0,"1,665",ESTRUTURA DE DADOS,60,REPROVADO
"170,035",M,20121,5,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"148,223",F,20102,1.5,0,"7,036",CALCULO DIF  E INTEGRAL III,60,REPROVADO
"112,173",M,20101,8.9,0,"2,703",PARADIGMAS DE LING DE PROGRAMAÇÃO,60,APROVADO
"154,463",M,20131,9.67,0,"16,949",CONCEPÇÃO ESTRUDE CIRCUIINTEGRADOS,60,APROVADO
"176,992",M,20121,7.3,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
